infinitiv,Präsens,Präteritum,Partizip II
backen,bäckt,buk,hat gebacken
befehlen,befiehlt,befahl,hat befohlen
beginnen,beginnt,begann,hat begonnen
beißen,beißt,biss,hat gebissen
bergen,birgt,barg,hat geborgen
bersten,birst,barst,ist geborsten
bewegen,bewegt,bewog,hat bewogen
biegen,biegt,bog,hat gebogen
bieten,bietet,bot,hat geboten
binden,bindet,band,hat gebunden
bitten,bittet,bat,hat gebeten
blasen,bläst,blies,hat geblasen
bleiben,bleibt,blieb,ist geblieben
braten,brät,briet,hat gebraten
brechen,bricht,brach,hat gebrochen
brennen,brennt,brannte,hat gebrannt
bringen,bringt,brachte,hat gebracht
denken,denkt,dachte,hat gedacht
dingen,dingt,dingte,hat gedungen
dreschen,drischt,drosch,hat gedroschen
dringen,dringt,drang,ist gedrungen
dünken,dünkt(deucht),dünkte(deuchte),hat gedünkt(gedeucht)
dürfen,darf,durfte,hat gedurft
empfehlen,empfiehlt,empfahl,hat empfohlen
erbleichen,erbleicht,erbleichte(erblich),ist erbleicht(erblichen)
erkiesen,erkiest,erkor,hat erkoren
erlöschen,erlischt,erlosch,ist erloschen
erschrecken,erschrickt,erschrak,ist erschrocken
essen,isst,aß,hat gegessen
fahren,fährt,fuhr,hat/ist gefahren
fallen,fällt,fiel,ist gefallen
fangen,fängt,fing,hat gefangen
fechten,ficht,focht,hat gefochten
finden,findet,fand,hat gefunden
flechten,flicht,flocht,hat geflochten
fliegen,fliegt,flog,hat/ist geflogen
fliehen,flieht,floh,ist geflohen
fließen,fließt,floss,ist geflossen
fressen,frisst,fraß,hat gefressen
frieren,friert,fror,hat gefroren
gären,gärt,gor,hat gegoren
gebären,gebärt,gebar,hat geboren
geben,gibt,gab,hat gegeben
gedeihen,gedeiht,gedieh,ist gediehen
gehen,geht,ging,ist gegangen
gelingen,gelingt,gelang,ist gelungen
gelten,gilt,galt,hat gegolten
genesen,genest,genas,ist genesen
genießen,genießt,genoss,hat genossen
geraten,gerät,geriet,ist geraten
geschehen,geschieht,geschah,ist geschehen
gewinnen,gewinnt,gewann,hat gewonnen
gießen,gießt,goss,hat gegossen
gleichen,gleicht,glich,hat geglichen
gleiten,gleitet,glitt,ist geglitten
glimmen,glimmt,glomm,hat geglommen
graben,gräbt,grub,hat gegraben
greifen,greift,griff,hat gegriffen
haben,hat,hatte,hat gehabt
halten,hält,hielt,hat gehalten
hängen,hängt,hing,hat gehangen
hauen,haut,hieb(haute),hat gehauen(gehaut)
heben,hebt,hob,hat gehoben
heißen,heißt,hieß,hat geheißen
helfen,hilft,half,hat geholfen
kennen,kennt,kannte,hat gekannt
klingen,klingt,klang,hat geklungen
kneifen,kneift,kniff,hat gekniffen
kommen,kommt,kam,ist gekommen
können,kann,konnte,hat gekonnt
kriechen,kriecht,kroch,ist gekrochen
laden,ladet,lud,hat geladen
lassen,lässt,ließ,hat gelassen
laufen,läuft,lief,ist gelaufen
leiden,leidet,litt,hat gelitten
leihen,leiht,lieh,hat geliehen
lesen,liest,las,hat gelesen
liegen,liegt,lag,hat gelegen
löschen,löscht,losch,hat geloschen
lügen,lügt,log,hat gelogen
mahlen,mahlt(mählt),mahlte(muhl),hat gemahlen
meiden,meidet,mied,hat gemieden
melken,milkt,melkte(molk),hat gemelkt(gemolken)
messen,misst,maß,hat gemessen
misslingen,misslingt,misslang,ist misslungen
mögen,mag,mochte,hat gemocht
müssen,muss,musste,hat gemusst
nehmen,nimmt,nahm,hat genommen
nennen,nennt,nannte,hat genannt
pfeifen,pfeift,pfiff,hat gepfiffen
pflegen,pflegt,pflegte(pflog),hat gepflegt(gepflogen)
preisen,preist,pries,hat gepriesen
quellen,quillt,quoll,ist gequollen
raten,rät,riet,hat geraten
reiben,reibt,rieb,hat gerieben
reißen,reißt,riss,hat/ist gerissen
reiten,reitet,ritt,hat/ist geritten
rennen,rennt,rannte,ist gerannt
riechen,riecht,roch,hat gerochen
ringen,ringt,rang,hat gerungen
rinnen,rinnt,rann,hat geronnen
rufen,ruft,rief,hat gerufen
salzen,salzt,salzte,hat gesalzt(gesalzen)
saufen,säuft,soff,hat gesoffen
saugen,saugt,sog(saugte),hat gesogen(gesaugt)
schaffen,schafft,schuf,hat geschaffen
schallen,schallt,schallte(scholl),hat geschallt(geschollen)
scheiden,scheidet,schied,hat/ist geschieden
scheinen,scheint,schien,hat geschienen
schelten,schilt,schalt,hat gescholten
scheren,schiert,schor,hat geschoren
schieben,schiebt,schob,hat geschoben
schießen,schießt,schoss,hat/ist geschossen
schinden,schindet,schindete,hat geschunden
schlafen,schläft,schlief,hat geschlafen
schlagen,schlägt,schlug,hat geschlagen
schleichen,schleicht,schlich,ist geschlichen
schleifen,schleift,schliff,hat geschliffen
schließen,schließt,schloss,hat geschlossen
schlingen,schlingt,schlang,hat geschlungen
schmeißen,scmeißt,schmiss,hat geschmissen
schmelzen,schmilzt,schmolz,ist geschmolzen
schnauben,schnaubt,schnaubte(schnob),hat geschnaubt(geschnoben)
schneiden,schneidet,schnitt,hat geschnitten
schrecken,schrickt,schrack,ist geschrocken
schreiben,schreibt,schrieb,hat geschrieben
schreien,schreit,schrie,hat geschrien
schreiten,schreitet,schritt,ist geschritten
schweigen,schweigt,schwieg,hat geschwiegen
schwellen,schwillt,schwoll,ist geschwollen
schwimmen,schwimmt,schwamm,ist geschwommen
schwinden,schwindet,schwand,ist geschwunden
schwingen,schwingt,schwang,hat geschwingen
schwören,schwört,schwor(schwur),hat geschworen
sehen,sieht,sah,hat gesehen
sein,ist,war,ist gewesen
senden,sendet,sendete(sandte),hat gesendet(gesandt)
sieden,siedet,sott(siedete),hat gesotten(gesiedet)
singen,singt,sang,hat gesungen
sinken,sinkt,sank,ist gesunken
sinnen,sinnt,sann,hat gesonnen
sitzen,sitzt,saß,hat gesessen
sollen,soll,sollte,hat gesollt
spalten,spaltet,spaltete,hat gespaltet(gespalten)
speien,speit,spie,hat gespien
spinnen,spinnt,spann,hat gesponnen
sprechen,spricht,sprach,hat gesprochen
sprießen,sprießt,sproß,ist gesprossen
springen,springt,sprang,ist gesprungen
stechen,sticht,stach,hat gestochen
stecken,steckt,stack(steckte),hat gesteckt
stehen,steht,stand,hat gestanden
stehlen,stehlt,stahl,hat gestohlen
steigen,steigt,stieg,ist gestiegen
sterben,stirbt,starb,ist gestorben
stieben,stiebt,stob(stiebte),hat/ist gestoben(gestiebt)
stinken,stinkt,stank,hat gestunken
stoßen,stößt,stieß,hat/ist gestoßen
streichen,streicht,strich,hat gestrichen
streiten,streitet,stritt,hat gestritten
tragen,trägt,trug,hat getragen
treffen,trifft,traf,hat getroffen
treiben,treibt,trieb,hat getrieben
treten,tritt,trat,hat/ist getreten
triefen,trieft,triefte(troff),hat getrieft(getroffen)
trinken,trinkt,trank,hat getrunken
trügen,trügt,trog,hat getrogen
tun,tut,tat,hat getan
verderben,verdirbt,verdarb,hat/ist verdorben
verdrießen,verdrießt,verdross,hat verdrossen
vergessen,vergisst,vergaß,hat vergessen
verlieren,verliert,verlor,hat verloren
verzeihen,verzeih,verzieh,hat verziehen
wachsen,wächst,wuchs,hat gewachsen
wägen,wägt,wog,hat gewogen
waschen,wäscht,wusch,hat gewaschen
weben,webt,webte(wob),hat gewebt(gewoben)
weichen,weicht,wich,ist gewichen
weisen,weist,wies,hat gewiesen
wenden,wendet,wandte(wendete),hat gewandt(gewendet)
werben,wirbt,warb,hat geworben
werden,wird,wurde,ist geworden
werfen,wirft,warf,hat geworfen
wiegen,wiegt,wog,hat gewogen
winden,windet,wand,hat gewunden
wissen,weiß,wusste,hat gewusst
wollen,will,wollte,hat gewollt
zeihen,zeiht,zieh,hat geziehen
ziehen,zieht,zog,hat/ist gezogen
zwingen,zwingt,zwang,hat gezwungen
